Fecha: 12:34 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:35 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:35 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:35 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:35 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:35 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:35 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:35 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:39 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:43 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:44 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\listado.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
